form_canada;Form Canada;;;;;;;;;x,,,,
form_canada_tt;§Y[Root.GetBestName]§! creates §YCanada§!.;;;;;;;;;x,,,,
form_lone_star_rep;Restore the Lone Star Republic;;;;;;;;;x,,,,
form_lone_star_rep_tt;§Y[Root.GetBestName]§! restores the §YLone Star Republic§!.;;;;;;;;;x,,,,
form_lone_star_rep_desc;While the war with the Mississippians caused the fall of the old republic, the memory of our old glory still lingers within most of our minds. Now that the lands under the Lone Star are united once more, let us restore our long-lost glories!;;;;;;;;;x,,
form_california;Form California;;;;;;;;;x,,,,
form_california_tt;§Y[Root.GetBestName]§! creates §YCalifornia§!.;;;;;;;;;x,,,,
form_california_desc;Old America's greatest state must be reunited, let us become the heart of the West Coast!;;;;;;;;;x,,,
form_amaitist_california;Form Kališahr;;;;;;;;;x,,,,
form_amaitist_california_desc;The sacred land of Kališahr shall be brought together.;;;;;;;;;x,,,,
form_amaitist_california_tt;§Y[Root.GetBestName]§! creates §YKališahr§!.;;;;;;;;;x,,,,
form_new_afrika;Form New Afrika;;;;;;;;;x,,,,
form_new_afrika_tt;§Y[Root.GetBestName]§! creates §YNew Afrika§!.;;;;;;;;;x,,,,
form_new_afrika_desc;DESC IS WIP;;;;;;;;;x,,,,
form_gullah;Form Gullah;;;;;;;;;x,,,,
form_gullah_tt;§Y[Root.GetBestName]§! creates §YGullaha§!.;;;;;;;;;x,,,,
form_gullah_desc;DESC IS WIP;;;;;;;;;x,,,,
form_florida;Form Florida;;;;;;;;;;;;;;x,,,,
form_florida_desc;Once the Sunshine State has been reunified, we can at last restore it to true glory.;;;;;;;;;;;;;;x,,,
form_three_fires;Restore the Council of the Three Fires;;;;;;;;;;;;;;x,,,,
form_three_fires_desc;DESC IS WIP;;;;;;;;;;;;;;x,,,,
form_haudenosaunee;Restore the Haudenosaunee Confederacy;;;;;;;;;;;;;;x,,,,
form_haudenosaunee_desc;DESC IS WIP;;;;;;;;;;;;;;x,,,,
form_sioux_nation;Restore the Seven Council Fires;;;;;;;;;;;;;;x,,,,
form_sioux_nation_desc;DESC IS WIP;;;;;;;;;;;;;;x,,,,
controlling_wyoming_and_minnesota_will_integrate;[k_wyoming.GetName] and [k_minnesota.GetName] will also be reclaimed if completely controlled.;;;;;;;;;;;;;;x,,,,
form_iron_confederacy;Restore the Iron Confederacy;;;;;;;;;;;;;;x,,,,
form_iron_confederacy_desc;DESC IS WIP;;;;;;;;;;;;;;x,,,,
controlling_kenora_will_integrate;[k_kenora.GetName] will also be reclaimed if completely controlled.;;;;;;;;;;;;;;x,,,,
form_canaan;Unify the Land of the Giants;;;;;;;;;;;;;;x,,,,
form_canaan_desc;When we have reunified these sacred lands, I can declare myself the ruler of a restored Gibborel, which once belonged to our Giant ancestors.;;;;;;;;;;;;;;x,,
form_deseret;Restore Deseret;;;;;;;;;;;;;;x,,,,
form_deseret_desc;The core territory of Deseret must be brought back together, as they once were for all who once arrived to this promised land.;;;;;;;;;;;;;;x,,,
form_deseret_tt;§Y[Root.GetBestName]§! creates §YDeseret§!.;;;;;;;;;;;;;x,,,,
form_zion;Restore Zion;;;;;;;;;;;;;;x,,,,
form_zion_desc;When our faith stretches itself across the continent, we can at last fulfill the White Horse Prophecy and bring Zion upon the Earth.;;;;;;;;;;;;;;x,,,
form_zion_tt;§Y[Root.GetBestName]§! creates §YZion§!.;;;;;;;;;;;;;x,,,,
form_new_babylon;Proclaim Yourself as Living Baphomet;;;;;;;;;;;;;x,,,,
form_new_babylon_desc;The Living Baphomet led their faithful from the ancient city of Babylon, with enough power I shall be able to proclaim myself the living avatar of Baphomet!;;;;;;;;;;;;;x,,,
form_new_babylon_tt;§Y[Root.GetBestName]§! creates §YNew Babylon§!.;;;;;;;;;;;;;x,,,,
claim_to_be_golden_horus;Declare myself the child of the true God, Horus-Ra!;;;;;;;;;x,,,
claim_to_be_golden_horus_desc;Klemes I. was the son of Horus-Ra and Pharoah of the Mississippi Empire long ago, but many believe he is not the only child of the Sun, but that there is another chosen child yet to be revealed. I believe that I am the chosen of Horus-Ra, and if I am it, then I could restore the title of Pharaoh.;;;;;;;;;x
form_madonnite_hof;Restore the Oracle;;;;;;;;;;;;;x,,,,
form_madonnite_hof_desc;The fall of the Mississippi Empire ended the primacy of the Oracle of the Sacred Madonna, nullifying what little authority the position had. Restoring such a position in subservience of a new Emperor would be a great boon for the Madonnite faith.;;;;;;;;;;;;;x,,,
form_madonnite_hof_tt;§Y[Root.GetBestName]§! restores the §YOracle§!.;;;;;;;;;x,,,,
launch_abolitionist_revolution;Launch Abolitionist Revolution;;;;;;;;;x,,,,
launch_abolitionist_revolution_desc;You may play with the fabric of time and launch a Abolitionist Revolution somewhere in the South.;;;;;;;;;x,,,,
launch_abolitionist_revolution_tt;Has at least 4 counties in a kingdom, which he holds or doesn't have a holder.;;;;;;;;;x,,,
choose_custodite_branch;Choose Branch of Service;;;;;;;;;;;;;x,,,,
choose_custodite_branch_desc;As a Custodite officer, I should associate with a branch of service.;;;;;;;;;;;;;x,,,
employ_soldier_custodite;Recruit Mustang;;;;;;;;;;;;;x,,,,
employ_soldier_custodite_desc;Promote a promising junior officer to your staff.;;;;;;;;;;;;;x,,,,
form_e_custodite;Establish the Northern Command;;;;;;;;;;;;;x,,,,
form_e_custodite_desc;With enough of America under our command, we can restablish the Northern Command and confirm ourselves as the Commander-in-Chief of all legitimate continuity of government.;;;;;;;;;x,,,
convert_baphometist;Become Baphometist;;;;;;;;;;;;;x,,,,
convert_baphometist_desc;As I learn more of [Root.Religion.GetRandomEvilGodName]'s truth, the more I want. Perhaps the time has come to practice the forbidden mysteries more seriously.;;;;;;;;;x,,,
religion_hire_bard;Hire Bard;;;;;;;;;;;;;x,,,,
religion_hire_bard_desc;As a [Root.Religion.GetName], I can seek out a bard to serve [Root.Religion.GetRandomGodName] and my court.;;;;;;;;;;;;;x,,,
hold_black_mass;Hold a Black Mass;;;;;;;;;;x,,,,
hold_black_mass_desc;Hold a great blackmass together with your vassals and offer sacrifice to the gods for good harvests and success on the battlefield. This can only be done every ninth year.;;;;;;;;;;x,,,,
prepare_black_mass;You begin preparations for the black mass.\n;Vous commencez les préparatifs pour le blót.\n;;;;;;;;;;x,,,,
choose_aquarian_guru;Follow a Guru;;;;;;;;;;x,,,,
choose_aquarian_guru_desc;Faithful Aquarians study and venerate several gurus whose teachings help us grasp the unity of the self and the divine, but it can help to adhere especially to one.;;;;;;;;;;x,,,
aquarian_perform_scrying;Perform Scrying;;;;;;;;;;x,,,,
aquarian_perform_scrying_desc;As an Aquarian, §Y[From.GetTitledFirstName]§! may choose to turn to the mystical art of divination in an attempt to foretell the future.;;;;;;;;;;x,,,
choose_cineaste_archetype;Follow an Archetype;;;;;;;;;;x,,,,
choose_cineaste_archetype_desc;I must follow in the footsteps of a great Archetype.;;;;;;;;;;x,,,,
aquarian_mysticism;Perform Aquarian Mystic Practice;;;;;;;;;;x,,,,
aquarian_mysticism_desc;Aquarian spirituality features many practices that are beneficial to one's health and spiritual union with the universe. Maybe I should explore a little deeper?;;;;;;;;;;x,,,,
form_aztlan;Unite Aztlán;;;;;;;;;;;;;x,,,,
form_aztlan_desc;Ancient legends of the Chicano people speak of the origin of American civilisation - the land of Aztlán. Though Aztlán has persisted as our people's spirit and guide in the many years since its fall, the time has come for us to restore our ancient empire in all its glory.;;;;;;;;;;;;;x,,,
form_aztlan_tt;§Y[Root.GetBestName]§! creates §YAztlán§!.;;;;;;;;;x,,,,
arcadian_season_trait;Identify with a Season;;;;;;;;;;;;;x,,,,
arcadian_season_trait_desc;As an Arcadian, I am expected to identify with the season of my birth. Perhaps I should tend to that...;;;;;;;;;;;;;x,,,
mend_brighamite_schism;Reunite the Latter-Day Saints;;;;;;;;;;;;;x,,,,
mend_brighamite_schism_desc;The insistence of the LDS Church in upholding the controversial reforms passed after the death of Joseph Smith effectively split the faith into two. A powerful ruler who brings the opposing side to its knees could easily declare primacy of their sect, declaring it the one true Mormon Church.;;;;;;;;;;;;;x,,,
,,,,
form_prarieland;Form the Prairieland;;;;;;;;;x,,,,
form_prarieland_desc;In days long past, the ancient peoples of the plains in the great north stood disunited. That era is long gone and we now have control over the region. The time has come to unite the Prairies and found something new!;;;;;;;;;x,,,
