arboreal_reformed_old_ones_desc;This character is member of a lodge which seeks to placate the unknown sea through sacrificial offerings. By giving up food, livestock, and - most controversially - human lives in the name of the deep sea, these lodges hope to prevent another disaster through extreme means.;;;;;;;;;;x,,,,,,
,,,,,,,
radiant_line;Radiant Line;;;;;;;;x
radiant_line_desc;This character is part of the radiant line of Heliarchs - Sol's earthly vessels to whom all should bow.;;;;;;;;x
solar_descendant;Solar Descendant;;;;;;;;x
solar_descendant_desc;This character claims descent from a Heliarch, and thus Sol itself.;;;;;;;;x
legendary_duelist;Legendary Duelist;;;;;;;;x
legendary_duelist_desc;This character is a world renowned duelist and terrifies all those they face in combat;;;;;;;;x
patron_osiris;Cult of Osiris;;;;;;;;;;x,,,,,,,
patron_osiris_desc;This character’s patron is the Divine King Osiris. Often considered a different aspect of the Divine Madonnite Heavenly Father, He is the creator of the world and rebirth and holds the highest authority among the Eight Divines. It is believed among the Kemetic faithful that Osiris ruled the earth from his kingdom in America before becoming the lord of the afterlife, teaching humans about laws, civilization, and agriculture. However, Apophis would not stand for this and ordered his servant Satan to destroy Osiris. Satan killed Osiris, chopping his body into pieces. The death of Osiris threw the world into cataclysmic chaos, destroying the world. This was the cause of the event, according to the kemetic faithful. After his death, his wife, Isis, found the revived Osiris, and he came to rule the underworld.;;;;;;;;;;x,,,,,,
patron_isis;Cult of Isis;;;;;;;;;;x,,,,,,,
patron_isis_desc;This character's patron god is the Divine Mother, Isis. Mother of Horus-Ra and Sister of the Sacred Madonna, she protects and guides the souls of the Kemetic Faithful. In the wake of Klemen's reign and the pretender pharaohs, her connections to royalty that she had in the mythical days of old Egypt gained more prominence. She protects the pharaohs and nobles from the machinations of Satan and Apophis with her vast knowledge of magick and represents the rulers' divine right to rule.;;;;;;;;;;x,,,,,
patron_horus;Cult of Horus-Ra;;;;;;;;;;x,,,,,,,
patron_horus_desc;This character’s patron god is Horus-Ra, the King of Gods and the Sun. Born as the child of Osiris and Isis, after the event he blessed a virgin mother to bring to the world pharaoh Klemens I. To bring forth a new era of civilization. Horus-Ra is also a god of civilization and universal order to the Kemetics. He watches New Egypt and its pharaohs through his eyes - the sun and moon. Horus-Ra rules the gods and manages all the workings of the mortal world from his divine court, without this all reality would dissolve into disastrous chaos.  As well Horus-Ra battles with Apophis and Apophis’s servant Satan when they threaten the world.;;;;;;;;;;x,,,,,
patron_linkon;Cult of Linkon;;;;;;;;;;x,,,,,,,
patron_linkon_desc;This character's patron god is Linkon. The god of war and honesty, he leads the armies of the gods and liberates the innocent from their captors. His greatest campaign was against Satan, the servant of Apophis, who had built a corrupted empire through the use of slaves. In anger, Linkon declared that no slavery should be allowed on American soil from then on, and marched south to destroy Satan's empire. Crushing the empire and foiling Apophis' plans, he returned to his land to find that the Pharaoh had enslaved the Jewish population of the kingdom. Through his skills as an orator, Linkon softened the Pharaoh's heart, who let the slaves go peacefully without bloodshed or conflict.;;;;;;;;;;x,,,,,,
patron_thoth;Cult of Thoth;;;;;;;;;;x,,,,,,,
patron_thoth_desc;This character's patron god is Thoth, the ibis-headed god of magic, learning, and the Moon. Before the Event, his seat of power was in a vast temple to the arts, assisted by a legion of saluki-headed cynocephalus helpers. He became the most trusted advisor of Horus-Ra after his temple was destroyed in the Event.;;;;;;;;;;x,,
patron_hathor;Cult of Hathor;;;;;;;;;;x,,,,,,,
patron_hathor_desc;This character's patron god is Hathor. She is the consort of Horus-Ra, the protector of rulers, and the goddess of femininity. She is also seen as very associated with motherhood. Because of her connection to femininity, womanhood, and motherhood, she was chosen by her consort Horus-Ra to reveal the future virgin birth to the Virgin Mother and guide her through the pregnancy of the child, who would later become the great Pharaoh Klemens I.;;;;;;;;;;x,,,,,,,
patron_sekhmet;Cult of Sekhmet;;;;;;;;;;x,,,,,,,
patron_sekhmet_desc;This character's patron god is Sekhmet. The lion-headed warrior goddess and greatest fighter of Linkon's army During Linkon's Great War against Apophis's minion Satan, At the bloodiest and greatest battle of the war against Satan, Sekhmet led Linkon's forces through Satan's attacks against them. She personally took the field to repel the undead ghouls Satan's magicians raised at Cemetery Hill. She continued to lead warriors through the whole war..;;;;;;;;;;x,,,,,,
patron_anubis;Cult of Anubis;;;;;;;;;;x,,,,,,,
patron_anubis_desc;This character's patron god is Anubis. The jackal-headed Shepherd of the Dead, who protects the souls of the dead in the Duat from Satan, who is the chief servant of the serpent Apophis. The souls of those judged wicked by Anubis are denied access to the Kingdom of Osiris taken by Satan and destroyed by fire.;;;;;;;;;;x,,,,,
golden_horus;Golden Horus;;;;;;;;;;x,,,,,,,
golden_horus_desc;This character is the child and chosen of Horus-Ra.;;;;;;;;;;x,,,,,,,
descendant_golden_horus;Golden Horus Descendant;;;;;;;;;;x,,,,,,,
descendant_golden_horus_desc;This character is the descendant of the Golden Horus, the child and chosen of the true God.;;;;;;;;;;x,,,,,,
missi_claimant;Azure Claimant;;;;;;;;;;x,,,,,,,
missi_claimant_desc;Through blood, prestige or history, this character claims the Azure Throne of the Mississippi. While the Empire is fractured this man holds the closest legitimacy anyone can have to being the rightful successor to Emperor Eliezer I.;;;;;;;;;;x,,,,,

raider;Raider;;;;;;;x
raider_desc;This character is leading a raid against foreign lands;;;;;;;x,,,,,,,
triadic_lodge;Triadic Lodge;;;;;;;;;;x,,,,,,,
triadic_lodge_desc;This character is a member of a Delver Triadic Lodge. The members of the Triadic Lodges are those who worship the Ascended Masters, led by a triumvirate of gods known as the Triad - Tyr, Ilmater, and Torm. The Ascended Masters are wise, immortal wandering wizards, figures such as Gandalf the Grey or Jesus of Nazareth. They are Avatars of the Triad on the mortal world, and Lodge members seek to emulate their wisdom, even going as far as to seek them out in person.;;;;;;;;;;x
triadic_lodge_reformed;Triadic Lodge;;;;;;;;;;x,,,,,,,
triadic_lodge_reformed_desc;This character is a member of a Delver Triadic Lodge. The members of the Triadic Lodges are those who worship the Ascended Masters, led by a triumvirate of gods known as the Triad - Tyr, Ilmater, and Torm. The Ascended Masters are wise, immortal wandering wizards, figures such as Gandalf the Grey or Jesus of Nazareth. They are Avatars of the Triad on the mortal world, and Lodge members seek to emulate their wisdom, even going as far as to seek them out in person.;;;;;;;;;;x
chaos_lodge;Chaotic Lodge;;;;;;;;;;x,,,,,,,
chaos_lodge_desc;This character is a member of a Delver Chaotic Lodge. The members of the controversial Chaotic Lodges are worshippers of Chaos, and the four Chaos Gods. Though they are evil, cruel gods who seek nothing but their own empowerment and the total destruction of order, the Delver faithful who worship them see them as a necessary evil that balances out the universe. Without evil, good has no meaning, and without chaos, there can be no order to oppose it.;;;;;;;;;;x,
chaos_lodge_reformed;Chaotic Lodge;;;;;;;;;;x,,,,,,,
chaos_lodge_reformed_desc;This character is a member of a Delver Chaotic Lodge. The members of the controversial Chaotic Lodges are worshippers of Chaos, and the four Chaos Gods. Though they are evil, cruel gods who seek nothing but their own empowerment and the total destruction of order, the Delver faithful who worship them see them as a necessary evil that balances out the universe. Without evil, good has no meaning, and without chaos, there can be no order to oppose it.;;;;;;;;;;x,
draconic_lodge;Draconic Lodge;;;;;;;;;;x,,,,,,,
draconic_lodge_desc;This character is a member of a Delver Draconic Lodge. The members of the Draconic Lodges are those who worship the wise dragon gods of old. Legend says that in the Age of Magick, dragons were a common sight in the world, ruling over men and other dragons. The primary dragon god worshipped by the Delvers is Bahamut, the god of justice, though there are also those that worship the cruel Tiamat, the five-headed dragon goddess of greed.;;;;;;;;;;x,,
draconic_lodge_reformed;Draconic Lodge;;;;;;;;;;x,,,,,,,
draconic_lodge_reformed_desc;This character is a member of a Delver Draconic Lodge. The members of the Draconic Lodges are those who worship the wise dragon gods of old. Legend says that in the Age of Magick, dragons were a common sight in the world, ruling over men and other dragons. The primary dragon god worshipped by the Delvers is Bahamut, the god of justice, though there are also those that worship the cruel Tiamat, the five-headed dragon goddess of greed.;;;;;;;;;;x,,
imperial_lodge;Imperial Lodge;;;;;;;;;;x,,,,,,,
imperial_lodge_desc;This character is a member of a Delver Imperial Lodge. The members of the Imperial Lodges are ardent worshippers of Sigmar Christ, the Emperor of Man, the prophesied saviour of mankind and the one who is said will united the two worlds at last. According to legend, Sigmar was the first Emperor of Man during the Age of Magick, ruling over all mankind in harmony as the Emperor of the Galactic Empire. However, when the Age came to an end, Sigmar and his empire were taken into the Other World, and the Delver faithful on Earth now await his triumphant return.;;;;;;;;;;x
imperial_lodge_reformed;Imperial Lodge;;;;;;;;;;x,,,,,,,
imperial_lodge_reformed_desc;This character is a member of a Delver Imperial Lodge. The members of the Imperial Lodges are ardent worshippers of Sigmar Christ, the Emperor of Man, the prophesied saviour of mankind and the one who is said will united the two worlds at last. According to legend, Sigmar was the first Emperor of Man during the Age of Magick, ruling over all mankind in harmony as the Emperor of the Galactic Empire. However, when the Age came to an end, Sigmar and his empire were taken into the Other World, and the Delver faithful on Earth now await his triumphant return.;;;;;;;;;;x
sun_eater;Sun Eater;;;;;;;;;;x,,,,,,,
sun_eater_desc;This character killed the living embodiment of the Sun.;;;;;;;;;;x,,,,,,,

custodite_infantry;Infantry Officer;;;;;;;;;;x
custodite_infantry_desc;This character is an Infantry Officer, a member of the Army corps that, through reputation and deeds, possesses the reputation as the most direct and unrelenting of the branches of the Army. Traditionally the corps with the highest casualty rates and exposure to the ignominies of war, service within the Infantry is, perhaps paradoxically, associated with a great deal of glory and prestige. In conducting military operations, Infantry officers are considered to be the most concerned with the conducting of war through orthodox, established means, and are generally thought of as having little tolerance for flowery words or boutique stratagems. The Infantry is said to be the oldest of the Armed Forces, established and led by the first Commander In Chief, and the direct and unforgiving reputation it has garnered has served it well as maintaining its position as the primary branch of the entire Custodite hierarchy. As no less than one-third of all enlisted Custodites are expected to serve within the Infantry corps, the Infantry have the reputation of possessing a strong sense of comradery in accordance to its size, and are broadly the most influential branch in the development of popular Custodite religious traditions.;;;;;;;;;;x
custodite_infantry_opinion;Infantry Officer Opinion;;;;;;;;;;x
custodite_cavalry;Cavalry Officer;;;;;;;;;;x
custodite_cavalry_desc;This character is a Cavalry Officer, a member of the Army corps which represents one of the oldest existent traditions of mounted combat remaining in the Americas, and perhaps the most storied. Traditionally responsible for maintaining and fielding regiments of dragoons and light cavalry, Calvary units traditionally work in tandem with other branches of the Army, such as directly supporting infantry charges and charging through openings created by artillery barrages. In recent centuries, the corps has become infamous for its regular punitive skirmishes with the various nomadic peoples of the Great Plains, through which they have gained the reputation of being one of the few mounted forces in the Americas capable of clashing with the horse lords. While many perceive Cavalry Officers as conventionally chivalrous, even heroic, the flexibility allotted to individual Cavalry Officers has allowed the corps to garner a reputation of tolerating cavalier behavior and unorthodox tactics. Cavalry units, due to being expected to engage in scouting and reconnaissance missions, are often expected to be far away from their homelands even during peacetime, which has fostered the development of a culture of self-reliance within the corps.;;;;;;;;;;x
custodite_cavalry_opinion;Cavalry Officer Opinion;;;;;;;;;;x
custodite_artillery;Artillery Officer;;;;;;;;;;x
custodite_artillery_desc;This character is an Artillery Officer, a member of the Army corps which manages the manufacture of siege weapons, cannonry and firearms for the larger Custodite organization, as well as the fielding of gunners and artillerymen when most strategically appropriate. As the corps which, traditionally, requires the most formal training in the traditional sciences to easily excel within, the Artillery corps has garnered a scholarly reputation over the centuries, being the branch that tolerates productive experimentation and 'field research' as long as it furthers the development of a better understanding of ancient military dogma. While this has fostered the reputation that the corps is a collection of pampered indolents who shy from the front lines, the success of the Artillery corps as a component of the greater armed forces of the Custodites cannot be denied.;;;;;;;;;;x 
custodite_artillery_opinion;Artillery Officer Opinion;;;;;;;;;;x
custodite_aerial;Aerial Officer;;;;;;;;;;x
custodite_aerial_desc;This character is an Officer within the Aerial Force, a branch of the Custodites which emerged from the chaos of the stripped of the legendary weapons and armaments which led to their creation centuries ago. Often called the 'knights of the sky,' owing to their supposed mythic past as the invincible defenders of the heavens, many Aerial Officers are today best known for their arrogance and propensity towards risk-taking, befitting the aristocratic tendencies of the corps. The Aerial Force promotes the utilization of advanced tactical doctrines which promote the utilization of specialized shock cavalry which are capable of engaging directly with large enemy units, and the dragoons and destroyer-castonogas that preform such actions are infamous throughout the Great Plains. In addition, the corps has developed a reputation for its willingness to engage in clandestine activities, an ignominious 'tradition' developed that allowed for the branch to utilize its limited manpower in the most efficient and devastating manner possible, as well as maintain its position as a independent organization within the early Custodite organization.;;;;;;;;;;x 
custodite_aerial_opinion;Aerial Officer Opinion;;;;;;;;;;x
custodite_marine;Marine Officer;;;;;;;;;;x
custodite_marine_desc;This character is an Officer within the Marines Corps, the branch of the Custodite organization dedicated to offensive warfare in its purest form. Due to the circumstances placed upon the branch, the Marine Corps has a historical reputation as fostering warlords, raiders and traders within its ranks, with the branch being noted as being the last to be adsorbed into the Custodites after the Event. Marine battalions today are most associated with their successful clashes against the nomads of the Great Plains, as the sailors who staff the vital convoys and man the great war-conestogas are those who defend the movement of goods and peoples in Custodite zones of interest, as well as engaging in sabotage and the infiltration of enemy ranks. In addition, the Marines have a long history of supporting traders and merchants in Custodite territory, and this mercantile reputation has lead to accusations of mercenary tendencies from other branches.;;;;;;;;;;x  
custodite_marine_opinion;Marine Officer Opinion;;;;;;;;;;x

archetype_hero;Following The Hero;;;;;;;;;;x
archetype_lover;Following The Lover;;;;;;;;;;x
archetype_sage;Following The Sage;;;;;;;;;;x
archetype_king;Following The King;;;;;;;;;;x
archetype_villain;Following The Villain;;;;;;;;;;x

thomas_aquino_patron_saint;Patron Saint Thomas of Aquino;;;;;;;;;;x
saint_augustine_patron_saint;Patron Saint Augustine;;;;;;;;;;x
lady_guadalupe_patron_saint;Patron Saint Our Lady of Guadalupe;;;;;;;;;;x
sor_juana_cruz_patron_saint;Patron Saint Sor Juana Ines de la Cruz;;;;;;;;;;x

arcadian_winter;Winterborn;;;;;;;;;;x
arcadian_winter_desc;Born in the depth of Winter, this Arcadian is fervent in their efforts against outside threats.;;;;;;;;;;x
arcadian_spring;Springborn;;;;;;;;;;x
arcadian_spring_desc;Born in the renewal of Spring, this Arcadian looks ahead to new opportunities and possibilities.,;;;;;;;;;;x
arcadian_summer;Summerborn;;;;;;;;;;x
arcadian_summer_desc;Born in the summit of Summer, this Arcadian sees to the preservation of what is precious and worthy.;;;;;;;;;;x
arcadian_fall;Fallborn;;;;;;;;;;x
arcadian_fall_desc;Born in the decay of Fall, this Arcadian looks back to the goodness that has been and may yet be again.;;;;;;;;;;x

sympathy_new_age_group;Sympathy for New Age;;;;;;;;;;x
sympathy_new_age_group_desc;Although not a practitioner, this character sympathizes with those who follow the New Age faiths.;;;;;;;;;;x
