EVTOPTOMNIMP.111;Indeed times are changing, and I must follow;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
convert_to_canadensium;Convert to Canadensium;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
convert_to_canadensium_desc;We will convert ourselves and our court to adopt this new hybrid culture, Canadensium.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Montanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESCOMNIMP.2;The people of our nation no longer speak the language of their Canadian ancestors, nor do they communicate through the language of their [This.Culture.GetName] overlords," instead they have merged the two languages. We know them to be the "Montanum".;;;;;;;;;;;;;x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTAOMNIMP.2;These peasants are civilizing?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESCOMNIMP.21;It seems that where once our two peoples were at odds, the Canadian subjects have merged their language and customs with their [This.Culture.GetName] overlords'. I have even caught myself speaking this new tongue. Perhaps the peasantry are finally civilizing;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTAOMNIMP.21;It seems we are all civilizing;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTBOMNIMP.21;We are similar, but not the same;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESCOMNIMP.211;Recently I've found myself thinking in a language that is not my own, but of a culture of conquerors and peasantry, Montanum. Perhaps converting to this hybrid culture will improve my social standing within our nation.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTOMNIMP.211;Indeed times are changing, and I must follow;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
convert_to_montanum;Convert to Montanum;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
convert_to_montanum_desc;We will convert ourselves and our court to adopt this new hybrid culture, Montanum.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC_COURTE_1122;A mysterious Baleazale man from a land known as 'Iceland' has arrived at your court. He is well-versed in feudal court intrigue and has a past as both a mercenary and a spy. If he can be trusted, he could very well prove to be an indispensable asset in your council...;;;;;;;;;;;;;x
EVTDESC_COURTE_1123;A robust Baleazale man from a land known as 'Iceland' has arrived at your court. He is well-versed in military strategy and has a past a mercenary. If he can be trusted, he could very well prove to be an indispensable asset to your military forces..;;;;;;;;;;;;;x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME_exovedate_1;Exovedate Invasion of Montréal;;;;;;;;;;;;;x
EVTDESC_exovedate_1;Troubles are brewing in Canada. The Exovedates are marching to war in a Holy Crusade towards Montréal, one of the most important Gallicanist cities, wishing to establish their new Papacy within its walls. Only time may tell if this conflict will escalate further and bring Canada into a state of Total War...;;;;;;;;;;;;;x
exovedate1OptA;May they be victorious.;;;;;;;;;;;;;x
exovedate1OptB;Who?;;;;;;;;;;;;;x
exovedate1OptC;To Arms!;;;;;;;;;;;;;x
exovedate1OptD;Onwards to the East!;;;;;;;;;;;;;x
EVTNAME_exovedate_2;News from the West;;;;;;;;;;;;;x
EVTDESC_exovedate_2;It seems that the Exovedates far to the west are gathering troops to invade our lands and establish their own Papacy in Montréal. Our spies say we have about a decade to prepare until their forces are ready to start their Invasion.;;;;;;;;;;;;;x
exovedate2OptA;By the Pope!;;;;;;;;;;;;;x
EVTNAME_exovedate_3;Montréal falls;;;;;;;;;;;;;x
EVTDESC_exovedate_3;The Merchants flee with their profits, the Faithful make their final stand, the old banners are thrown into the St. Lawrence River. The Exovedate Crusaders have taken over Montréal, starting a new line of Papal Succession in the walls of Saint Joseph's Oratory. While the war is over for now, one thing everyone in Canada can agree on is that, the Holy See in Quebec will not stand idly.;;;;;;;;;;;;;x
exovedate3OptA;The chosen Tribe returns to Canaan.;;;;;;;;;;;;;x
exovedate3OptB;Lets hope this is the final Invasion from the Great Plains...;;;;;;;;;;;;;x
EVTNAME_exovedate_4;Montréal stands;;;;;;;;;;;;;x
EVTDESC_exovedate_4;Church bells ring across Montréal, crowds of soldiers celebrate on the streets with their loved ones. The Exovedate Crusaders have been crushed by the Gallicanists, restoring the Status Quo.;;;;;;;;;;;;;x
exovedate4OptA;We wept, when we remembered Zion.;;;;;;;;;;;;;x
exovedate4OptB;No one from the Great Plains can be foolish to try something similar again?;;;;;;;;;;;;;x
EVTNAMEABOLITIONIST1;Bleeding South;;;;;;;;;;;;;x
EVTDESCABOLITIONIST1;For centuries, certain groups of Christians have espoused ideals of liberation and equality, in accordance with Christian ethics and law. Claiming that other Christians have become either too oppressive or too pacifist in their fight for liberation, a young preacher calling himself an 'instrument of God' has rallied a horde of radicalised peasants into an impromptu militia, joined by zealots from all over Old America. Declaring holy war on his former liege, this army of so-called Abolitionists seeks to liberate the whole country from what they consider a status quo of tyranny and oppression.;;;;;;;;;;;;;x
rise_of_abolitionism;Rise of Abolitionism;;;;;;;;;;;;;x
EVTDESCA_EDU_2;I have been observing my ward [From.GetName] recently, and I have noticed that [From.GetSheHe] has been getting into the same kind of interests as me. Should I do something about this?;;;;;;;;;;;;;x
EVTOPTA_EDU_2;There's no need for that.;;;;;;;;;;;;;x
EVTOPTB_EDU_2;Try to get [From.GetHerHim] to stop.;;;;;;;;;;;;;x
child_lifestyle_no_intervention;Your ward will pick up one of your lifestyles.;;;;;;;;;;;;;x
child_lifestyle_intervention;You will try to stop your ward from picking up one of your hobbies, though you are not guaranteed to succeed.;;;;;;;;;;;;;x
EVTDESCA_EDU_3;Recently I have gained interest in one of [Educator.GetTitledFirstName]'s hobbies. Though a small occupation at first, I feel like I could do this for the rest of my life.;;;;;;;;;;;;;x
EVTOPTA_EDU_3;The castle has never been this efficient before!;;;;;;;;;;;;;x
EVTOPTB_EDU_3;So the difference between a trebuchet and a catapult is...;;;;;;;;;;;;;x
EVTOPTC_EDU_3;My sword is an extension of my arm.;;;;;;;;;;;;;x
EVTOPTD_EDU_3;Now what is this 'En passant'...;;;;;;;;;;;;;x
EVTOPTE_EDU_3;There's nothing better than to see your work bear fruits.;;;;;;;;;;;;;x
EVTOPTF_EDU_3;Nobody throws parties better than me!;;;;;;;;;;;;;x
EVTOPTG_EDU_3;It is not about efficiency, but the thrill of the hunt.;;;;;;;;;;;;;x
EVTOPTH_EDU_3;it is amazing how much the human body can endure...;;;;;;;;;;;;;x
EVTOPTI_EDU_3;Better to stab someone in the back than be the one stabbed.;;;;;;;;;;;;;x
EVTOPTJ_EDU_3;The best kind of knowledge is the hidden one.;;;;;;;;;;;;;x
EVTOPTK_EDU_3;The pen is mighter than the sword.;;;;;;;;;;;;;x
EVTOPTL_EDU_3;I wonder what my friends are up to...;;;;;;;;;;;;;x
EVTOPTM_EDU_3;So Aeldar are good at flanking, but Orkz are..;;;;;;;;;;;;;x
EVTOPTN_EDU_3;Truth is revealed in [Root.Religion.GetScriptureName].;;;;;;;;;;;;;x
EVTOPTO_EDU_3;Roses are red, violets are blue...;;;;;;;;;;;;;x
EVTOPTP_EDU_3;Good thing I like rabbit!;;;;;;;;;;;;;x
EVTOPTQ_EDU_3;My head hurts....;;;;;;;;;;;;;x
EVTOPTR_EDU_3;I have gained a distaste for meat.;;;;;;;;;;;;;x
EVTOPTS_EDU_3;Fish fear me, no beast dare make a sound in my presence.;;;;;;;;;;;;;x
EVTOPTT_EDU_3;So that's how you get girls to like you!;;;;;;;;;;;;;x
EVTOPTU_EDU_3;So that's how you get boys to like you!;;;;;;;;;;;;;x
EVTNAME_nyc_retaken;The Empire City Reclaimed;;;;;;;;;;;;;x
EVTDESC_nyc_retaken;Once the greatest city of Old America, Enysee fell under the control of the Lord Presidency at the end of the Politan Wars. However, news has arrived that the Columbian Catholics have reclaimed Enysee's core boroughs, most importantly the beating heart in Manhattan. The Columbian Patriarch personally gave a sermon in Manhattan's St Patricks Cathedral, before announcing that the faith would now and forever defend itself through the sword. This marks a new era in American Christian history - the Columbian Crusades.;;;;;;;;;;;;;x
EVTOPTA_nyc_retaken;Deus Vult!;;;;;;;;;;;;;x
EVTOPTB_nyc_retaken;This should be interesting.;;;;;;;;;;;;;x
EVTOPTC_nyc_retaken;Our Christian brethren have reasserted themselves.;;;;;;;;;;;;;x
EVTOPTD_nyc_retaken;We must prepare ourselves for the worst.;;;;;;;;;;;;;x
EVTOPTE_nyc_retaken;Enysee must be reclaimed for America.;;;;;;;;;;;;;x
EVTNAME_custodite_300;Branch of Service;;;;;;;;;;;;;x
EVTDESC_custodite_300;Officers are expected to commit to a branch of service in service to Old Glory. Most officers opt for service within the Army branches of the Artillery, Cavalry, and especially the Infantry, but there are also proud traditions of service in the Aerial and Marine branches, each of which have significant inter-service rivalries.;x
EVTOPTA_custodite_300;I will join the Infantry!;;;;;;;;;;;;;x
EVTOPTB_custodite_300;I will join the Cavalry!;;;;;;;;;;;;;x
EVTOPTC_custodite_300;I will join the Artillery!;;;;;;;;;;;;;x
EVTOPTD_custodite_300;I want to look at non-Army options.;;;;;;;;;;;;;x
EVTOPTA_custodite_301;I will join the Marines!;;;;;;;;;;;;;x
EVTOPTB_custodite_301;I will join the Air Force!;;;;;;;;;;;;;x
EVTOPTC_custodite_301;I want to look back at the Army options.;;;;;;;;;;;;;x
EVTOPTD_custodite_301;I don't want to commit yet.;;;;;;;;;;;;;x
EVTDESC_baph_600;You have sent out summons to all of your vassals for the black mass. Those that do not honor Baphomet must pay to be exempted from this magnificent feast.;;;;;;;;;;x
EVTTOOLTIP_baph_601;Summoned to black mass.;;;;;;;;;;x
EVTTOOLTIP_baph_602;Exempted from black mass.;;;;;;;;;;x
EVTDESC_baph_601;Your wise liege, [From.GetTitledFirstName], has summoned you and [From.GetHerHis] other vassals to a black mass. There you will worship and give sacrifice to the gods before taking part in a great feast where you drink to their name.;;;;;;;;;;x
EVTDESC_baph_602;Your liege, [From.GetTitledFirstName], a servant to accursed ways, has summoned all of [From.GetHerHis] vassals to a black mass where [From.GetSheHe] intends to give sacrifice to [From.GetHerHis] dark gods. Since you do not practise their diabolical religion, you will be expected to contribute gold in order to be exempted from this ceremony.;;;;;;;;;;x
EVTDESC_baph_603;[From.GetTitledFirstName], your vassal, is stubborn in [From.GetHerHis] ways and speaks only of the mercy of [From.Religion.GetRandomGodNameCap], but [From.GetSheHe] has wisely decided to offer you some gold to be exempted from the black mass.;;;;;;;;;;x
EVTDESC_baph_636;Despite having sworn you fealty, [From.GetTitledFirstName] refuses to offer gold in order to be exempted from the black mass! According to [From.GetFirstName], [From.Religion.GetRandomGodName] would not forgive [From.GetHerHim] if [From.GetSheHe] contributed as much as a single copper to a diabolical festival.;;;;;;;;;;x
EVTDESC_baph_604;The guests have arrived, and the time has come for the black mass to begin! You gather outside the temple, and start by offering animals as sacrifice to the gods. While their meat is prepared for the feast that is to follow, the blood is sprinkled on statues of Baphomet, Merdoak, Isis, and the other gods, as well as on the worshipers themselves.;;;;;;;;;;x
EVTDESC_baph_605;The time has come for the black mass held by [From.GetTitledFirstName] to begin! You gather outside the temple, and start by offering animals as sacrifice to the gods. While their meat is prepared for the feast that is to follow, the blood is sprinkled on statues of Baphomet, Merdoak, Isis, and the other gods, as well as on the worshipers themselves.;;;;;;;;;;x
EVTDESC_baph_606;Although you have been told little, the noise from outside your dungeon is enough to make it clear that your captor, [Root.Host.GetTitledFirstName] is holding a black mass where [Root.Host.GetSheHe] will offer sacrifice in worship of [Root.Host.GetHerHis] gods. Guards burst inside your cell and drag you away to the gallows outside the local temple...;;;;;;;;;;x
EVTOPTA_baph_610;Baphomet, we offer you this sacrifice...;;;;;;;;;;x
EVTOPTA_baph_619;Yes, and that only proves my devotion.;;;;;;;;;;x
EVTDESC_baph_634;As you have no prisoners languishing in your dungeons that are suitable for sacrifice at the black mass, you are forced to make do with some randomly purchased slaves. They are brought to the big oak outside the temple, and soon their limp and lifeless bodies are hanging from its thick branches.;;;;;;;;;;x
EVTDESC_baph_635;As [From.GetTitledFirstName] had no prisoners languishing in [From.GetHerHis] dungeons that were suitable for sacrifice at the black mass, your liege was forced to make do with some randomly purchased slaves. They are brought to the big oak outside the temple, and soon their limp and lifeless bodies are hanging from its thick branches.;;;;;;;;;;x
EVTDESC_baph_640;With the sacrifice over, the feast at the end of the black mass can now begin. The meat of the animals that were sacrificed has already been prepared, and there is plenty of liquor to go around while the court bard plays ancient tritonal music about heroic and romantic conquest.;;;;;;;;;;x
EVTDESC_baph_642;The feast is over and with it the black mass. It will be at least nine years until you hold the next one, but as your vassals return home, most seem to agree that the ceremony was well worth the trip.;;;;;;;;;;x
EVTDESC_baph_643;The feast is over and with it the black mass. It will be at least nine years until your liege holds the next one, but as you and the other vassals return home, most seem to agree that the ceremony was well worth the trip.;;;;;;;;;;x
EVTDESC_aquarian_100;Aquarian spirituality incorporates the teachings of many gurus and ascended masters, foremost among which are Jesus, Buddha, and Carina, alongside Gaia, the embodiment of the Earth. Students can benefit greatly from studying any of these paths.;;;;;;;;;;x
EVTOPTA_aquarian_100;I will study the way of Jesus;;;;;;;;;;x
EVTOPTB_aquarian_100;I will study the way of Buddha;;;;;;;;;;x
EVTOPTC_aquarian_100;I will study the way of Carina;;;;;;;;;;x
EVTOPTD_aquarian_100;I will study the way of Gaia;;;;;;;;;;x
EVTNAME_america_40;Knock Knock, It's the United States!;;;;;;;;;x
EVTDESC_america_40;Following extensive reforms and preparations, President [From.GetDynName] has issued the following statement: \n \n My fellow Americans, I'm pleased to tell you today that I've signed legislation that will outlaw separatists forever. We begin marching in five minutes.;;;;;;;;;;x
EVTOPTA_america40;Glory Glory Hallelujah!;;;;;;;;;x
EVTOPTB_america40;Bah, useless civvies!;;;;;;;;;x
EVTOPTC_america40;The Feds can take [Root.PrimaryTitle.GetBaseName] from my cold dead hands!;;;;;;;;;x
EVTOPTD_america40;Oh no, not again...;;;;;;;;;x
EVTNAME_cineaste_archetype;The Archetypes;;;;;;;;;;x
EVTDESC_cineaste_archetype;I have studied the Archetypes my whole life, and now it is my destiny to decide which one I shall emulate.;;;;;;;;;;x
EVTOPTA_cineaste_1;The Hero;;;;;;;;;;x
EVTOPTB_cineaste_1;The Lover;;;;;;;;;;x
EVTOPTC_cineaste_1;The Sage;;;;;;;;;;x
EVTOPTD_cineaste_1;Next Page;;;;;;;;;;x
EVTOPTA_cineaste_2;The King;;;;;;;;;;x
EVTOPTB_cineaste_2;The Villain;;;;;;;;;;x
EVTOPTC_cineaste_2;Previous Page;;;;;;;;;;x
EVTOPTD_cineaste_2;I am not yet ready to decide.;;;;;;;;;;x
redcoat1TITLE;Strange Men;;;;;;;;;;x
redcoat1DESC;Reports of strange men wandering the coasts have appeared all over New England and the Maritimes. Fishermen claim they look like sailors, but are not part of any known sailing crew. They reportedly speak an alien language, and their deathly pale complexion betrays the idea that they are tropical traders lost at sea. Before any true effort to communicate was established, the men seemed to disappear, and were never seen again.;;;;;;;;;;x
redcoat1OPTA;And this concerns me because...?;;;;;;;;;;x
redcoat1OPTB;They could be pirates, like those accursed Norsemen.;;;;;;;;;;x
redcoat1OPTC;Could they be scouting on behalf of the Deep?;;;;;;;;;;x
redcoat1OPTD;The last time demons washed up ashore, they founded New England.;;;;;;;;;;x
redcoat2TITLE;The Midnight Ride;;;;;;;;;;x
redcoat2DESC;The British are coming! Unsettling rumours of sailors and fishermen suggest a massive fleet of boats is headed straight for the eastern seaboard of America. Dozens of messengers departed in the middle of the night to warn their courts of what can only be impending doom. Could this be the precipice of war?;;;;;;;;;;x
redcoat2OPTA;Let's hope the fighting does not reach us.;;;;;;;;;;x
redcoat2OPTB;We defeated them before, we will do it again!;;;;;;;;;;x
redcoat2OPTC;The abyss is made manifest!;;;;;;;;;;x
redcoat2OPTD;We will protect our homes, at a minute's notice!;;;;;;;;;;x
redcoat2OPTE;To rule the waves...;;;;;;;;;;x
EVTNAME_GPLAINS_2;Sonorous Prophecies;;;;;;;;;;x
EVTDESC_GPLAINS_2;Recent whispers of heresy have driven the Christians of the prairies into a frenzy! They claim that Christ has risen once more, and his army is on the march! The man, calling himself Joshua, has already rounded up a sizeable force of peasants, fanatics, and mercenaries seeking to join his Heavenly Host. The Great Plains find themselves in jeopardy...;;;;;;;;;;x
EVTOPTA_GPLAINS_2;We will march in His name!;;;;;;;;;;x
EVTOPTB_GPLAINS_2;Now we fight for survival...;;;;;;;;;;x
EVTOPTC_GPLAINS_2;We used to burn people for less.;;;;;;;;;;x
EVTOPTD_GPLAINS_2;Any imbecile can spout nonsense and call himself a prophet.;;;;;;;;;;x
EVTOPTE_GPLAINS_2;One nation, under God...;;;;;;;;;;x
EVTDESC_aquarian_300;Aquarians who seek a deeper connection with the cosmos and their higher selves have a variety of mystic practices available to them. These are generally classed into the spiritual and physical, even if these categories are two sides of the same coin.;;;;;;;;;;x
EVTOPTA_aquarian_300;I seek a more spiritual experience;;;;;;;;;;x
EVTOPTB_aquarian_300;I seek a more physical experience;;;;;;;;;;x
EVTOPTC_aquarian_300;I'm not sure I'm ready for this;;;;;;;;;;x
EVTDESC_aquarian_301;There are three main practices on the spiritual side of Aquarian mysticism. Reiki involves the laying of hands to reorient spiritual energy and bring balance to body and spirit, charged crystals are known to create auras beneficial to self-realization, and channeling offers an intimate experience of the spiritual realm.;;;;;;;;;;x
EVTOPTA_aquarian_301;I will arrange a Reiki session;;;;;;;;;;x
EVTOPTB_aquarian_301;I will acquire a useful crystal;;;;;;;;;;x
EVTOPTC_aquarian_301;I will experience the spirits myself;;;;;;;;;;x
EVTDESC_aquarian_302;There are three main practices on the physical side of Aquarian mysticism. Experimenting with mind-altering smoke, potions, or mushrooms can expand the consciousness, physical intimacy foments a connectedness that may foster wellness and understanding, and yoga disciplines the body into syncronicity with the cosmos.;;;;;;;;;;x
EVTOPTA_aquarian_302;I will use mind-expanding substances;;;;;;;;;;x
EVTOPTB_aquarian_302;I will seek myself in intimacy with others;;;;;;;;;;x
EVTOPTC_aquarian_302;I will use yoga to harmonize my body;;;;;;;;;;x
EVTDESC_aquarian_3011;Fortunately, there is no shortage of Reiki practitioners, and an expert in qi manipulation is honored to assist you. As you lay back, their hands weave just over your body, noting blocked channels and suppressed energies. After an hour, they invite you to rise to greet improved health and wisdom.;;;;;;;;;;x
EVTOPTA_aquarian_3011;A true master need not touch to improve a life.;x
EVTDESC_aquarian_3012;Merchants selling crystals charged with beneficial energies are not uncommon in Aquarian communities. A seemingly trustworthy vendor invites you to inspect their inventory with great care, assuring you that they would never want a patron as esteemed as yourself to leave without something attuned to their very soul.;;;;;;;;;;x
EVTOPTA_aquarian_3012;Ah, this one calls to me, I can feel it.;;;;;;;;;;x
EVTDESC_aquarian_3013;As you place the board and cards amid incense, you feel some trepidation. The spirits are wise and powerful, and as extensions of cosmic harmony should be trustworthy. Yet, each is unique, and your journey to realized divinity is far from complete, so you warily ponder whose communion you should seek.;;;;;;;;;;x
EVTOPTA_aquarian_3013;I will channel one of my ancestors.;;;;;;;;;;x
EVTOPTB_aquarian_3013;I will channel a spirit of the natural world.;;;;;;;;;;x
EVTOPTC_aquarian_3013;I will channel an ascended master.;;;;;;;;;;x
EVTOPTD_aquarian_3013;I will channel a divinity.;;;;;;;;;;x
EVTDESC_aquarian_3022;The carnal exploration of self is not merely pleasure for pleasure's sake. As you lay with a practiced master of the kama sutra, tantric sexuality, and other fleshly yet spiritual arts, you must balance the physical sensations with the truth they escort: that you and your partner are one, with each other, and with everything.;;;;;;;;;;x
EVTOPTA_aquarian_3022;So long as our oneness doesn't create another.;;;;;;;;;;x
