###ÄNSI###

levita_desc;This character is a member of the Levita priesthood, the lowest rank in the Navegante baptismal priesthood.;;;;;;;;;;;;;x
aaronita;Aaronita;;;;;;;;;;;;;x
aaronita_desc;This character is a member of the Aaronita priesthood, the second rank in the Navegante baptismal priesthood.;;;;;;;;;;;;;x
melquisedequita;Melquisedequita;;;;;;;;;;;;;x
melquisedequita_desc;This character is a member of the Melquisedequita priesthood, the highest rank in the Navegante baptismal priesthood.;;;;;;;;;;;;;x

aniconist;Jubileo;;;;;;;;;;;;;x
aniconist_desc;For their deeds against Idolatry, this character has earned the lowest rank of the Purificador mission of smashing Golden Bulls to purify the Temple.;;;;;;;;;;;;;x
image_breaker;Celebrante Poderoso;;;;;;;;;;;;;x
image_breaker_desc;For their deeds against Idolatry, this character has earned the second rank of the Purificador mission of smashing Golden Bulls to purify the Temple. ;;;;;;;;;;;;;x
arch_iconoclast;Santificador;;;;;;;;;;;;;x
arch_iconoclast_desc;For their deeds against Idolatry, this character has earned the highest rank of the Purificador mission of smashing Golden Bulls to purify the Temple. Achieving sanctification through the Gift of Discerning Spirits.;;;;;;;;;;;;;x

EVTDESC_centroamerica_3A;The Bible says, Ye shall make you no idols nor graven image. Many so-called Christians have forgotten this, but you have not. For your actions against idolatry, you are known as a jubileo.;;;;;;;;;;;;;x
EVTOPTA_centroamerica_3;Their idols are forfeit.;;;;;;;;;;;;;x

EVTDESC_centroamerica_3B;The Bible says, The idols of the nations are but silver and gold, the work of man’s hands. You have thrown down many nations idols, their Golden Bulls. For that, you are known as a celebrante ponderoso.;;;;;;;;;;;;;x
EVTOPTB_centroamerica_3;Their Baals will not protect them.;;;;;;;;;;;;;x

EVTDESC_centroamerica_3C;The Bible says, I will cut off your carved images and your sacred pillars from among you, so that you will no longer bow down to the work of your hands. For fulfilling God’s words, you are now known as a sanctificador.;;;;;;;;;;;;;x
EVTOPTC_centroamerica_3;I hold no other gods before the Lord.;;;;;;;;;;;;;x

CB_NAME_ABOLITIONIST_RISING;Abolitionist Rising;;;;;;;;;;;;;x
WAR_NAME_ABOLITIONIST_RISING;Abolitionist Rising;;;;;;;;;;;;;x
WAR_NAME_ABOLITIONIST_REVOLUTION;$ORDER$ Abolitionist Revolution of $OTHER_TITLE$;;;;;;;;;x
CB_NAME_ABOLITIONIST_REVOLUTION_CON;Continue the Revolution;;;;;;;;;x
WAR_NAME_ABOLITIONIST_REVOLUTION_CON;$ORDER$ Abolitionist Revolution of $SECOND_ADJ$ [Title.GetBaseName];;;;;;;;;x
CB_NAME_RESTORE_REPUBLIC_BOARDERS;Restore the Borders of [Title.GetBaseName];;;;;;;;;x
WAR_NAME_RESTORE_REPUBLIC_BOARDERS;$ORDER$ Restoration of the Borders of $OTHER_TITLE$;;;;;;;;;x
CB_NAME_SPREAD_REVOLUTION;[Attacker.GetCBSRName] [Title.GetBaseName];;;;;;;;;x
WAR_NAME_SPREAD_REVOLUTION;$ORDER$ [Attacker.GetWARSRName] $OTHER_TITLE$;;;;;;;;;x
CB_NAME_ABOLITIONIST_SEIZE;Seize [Title.GetBaseName];;;;;;;;x
WAR_NAME_ABOLITIONIST_SEIZE;$ORDER$ $SECOND_ADJ$ Seizure of $OTHER_TITLE$;;;;;;;;x
CB_NAME_TAKE_REVOLUTION;Secure [Title.GetBaseName];;;;;;;;x
WAR_NAME_TAKE_REVOLUTION;War for $OTHER_TITLE$;;;;;;;;x
CB_NAME_ESTABLISH_REPUBLIQUE;Establish the Republic of [Title.GetBaseName];;;;;;;;;;;;;x
WAR_NAME_ESTABLISH_REPUBLIQUE;$ORDER$ Establishment of the Republic of $OTHER_TITLE$;;;;;;;;;;;;;x
CB_NAME_AWEKEN_PEOPLE;Awaken the People of [Title.GetBaseName];;;;;;;;;;;;;x
WAR_NAME_AWEKEN_PEOPLE;$ORDER$ Awakening of People of $OTHER_TITLE$;;;;;;;;;;;;;x
take_revolution_desc;§Y[Root.GetTitledFirstName]§! has proven that [Root.GetSheHe] is dedicated to freedom, therefore [Root.GetSheHe] would be a better champion of Abolitionism.;;;;;;;;x
abolitionist_county_conquest_desc;Abolitionists can conquer single border counties without specific reasons.;;;;;;;;x
abolitionist_ducal_conquest_desc;Abolitionists can seize duchies from each other without specific reasons at the cost of §Y100§! Piety.;;;;;;;;x
abolitionist_start_of_revolution_invasion_desc;Fairly weak Abolitionist rulers can start a revolution for a kingdom at the cost of §Y500§! Prestige once in a lifetime.;;;;;;;;x
abolitionist_continue_revolution_invasion_desc;Leaders of successful Abolitionist revolution can continue them.;;;;;;;;x
abolitionist_restore_republic_boarders_desc;Abolitionists can start a war for all of the de jure land of a held kingdom at the cost of §Y100§! Piety.;;;;;;;;x
abolitionist_spread_revolution_desc;[Root.Religion.GetName]s can spread the revolution to new realms unlimited times but these states won't have any obligations to their liberators.;;;;;;;;x
abolitionist_liberated_me;Supported My Revolution;;;;;;;;;x
