From;To;Type;Through;-1;-1;-1;-1;Comment
706;724;sea;1448;-1;-1;-1;-1;Marietta-Ritchie
706;723;sea;1448;-1;-1;-1;-1;Marietta-Parkersburg
711;723;sea;1448;-1;-1;-1;-1;Meigs-Parkersburg
712;721;sea;1498;-1;-1;-1;-1;Lawrence-Cabell
712;96;sea;1498;-1;-1;-1;-1;Lawrence-Tug Fork
712;1003;sea;1498;-1;-1;-1;-1;Lawrence-Greenbo
116;1003;sea;1498;-1;-1;-1;-1;Scioto-Greenbo
719;1006;sea;1498;-1;-1;-1;-1;Clermont-Blue Licks
719;122;sea;1498;-1;-1;-1;-1;Clermont-Covington
121;122;sea;1498;-1;-1;-1;-1;Cincinnati-Covington
1061;122;sea;1498;-1;-1;-1;-1;Versailles-Covington
842;1008;sea;1498;-1;-1;-1;-1;Switzerland-Old Bourbon
1060;1009;sea;1498;-1;-1;-1;-1;Hoosier-Louisvillev
1059;1014;sea;1498;-1;-1;-1;-1;Evansville-Owensboro
1059;837;sea;1498;-1;-1;-1;-1;Evansville-Morganfield
854;837;sea;1498;-1;-1;-1;-1;Shawneetown-Morganfield
853;1017;sea;1498;-1;-1;-1;-1;Vienna-Mineral Mound
1025;827;sea;1496;-1;-1;-1;-1;Forked Deer-Lawrenceburg
3318;1026;sea;1496;-1;-1;-1;-1;Dyersburg-Tullahoma
830;1083;sea;1496;-1;-1;-1;-1;Paris-Cheatham
835;836;sea;1496;-1;-1;-1;-1;Calloway-Cadiz
835;1017;sea;1498;-1;-1;-1;-1;Calloway-Mineral Mound
170;740;sea;1555;-1;-1;-1;-1;Chicago-Hammond
865;1054;sea;1555;-1;-1;-1;-1;Dekalb-Kankakee
865;1070;sea;1553;-1;-1;-1;-1;Dekalb-Streatorland
1071;1070;sea;1553;-1;-1;-1;-1;Peoria-Streatorland
1071;1072;sea;1553;-1;-1;-1;-1;Peoria-Cass
866;1072;sea;1553;-1;-1;-1;-1;Lewistown-Cass
1078;1072;sea;1553;-1;-1;-1;-1;Quincy-Cass
1078;1077;sea;1553;-1;-1;-1;-1;Quincy-Alton
859;1077;sea;1553;-1;-1;-1;-1;Hardin-Alton
354;376;sea;1562;-1;-1;-1;-1;Norfolk-Yankton
354;375;sea;1562;-1;-1;-1;-1;Norfolk-Minnehaha
948;363;sea;1562;-1;-1;-1;-1;Fremont-Floyd
353;299;sea;1551;-1;-1;-1;-1;Omaha-Kanesville
353;253;sea;1551;-1;-1;-1;-1;Omaha-Nodaway
346;253;sea;1551;-1;-1;-1;-1;Atchison-Nodaway
250;252;sea;1561;-1;-1;-1;-1;Moks-Bluffwoods
251;252;sea;1561;-1;-1;-1;-1;Saline-Bluffwoods
251;255;sea;1561;-1;-1;-1;-1;Saline-Thompson
251;216;sea;1561;-1;-1;-1;-1;Saline-Boone
1295;886;sea;1550;-1;-1;-1;-1;Cole-Fulton
884;214;sea;1550;-1;-1;-1;-1;Linn-Cuivre
1294;214;sea;1550;-1;-1;-1;-1;Gasconade-Cuivre
226;264;sea;1449;-1;-1;-1;-1;Willow-Cannon
1145;265;sea;1449;-1;-1;-1;-1;La Crosse-Roch
894;209;sea;1563;-1;-1;-1;-1;Prairie du Chien-Decorah
1147;210;sea;1563;-1;-1;-1;-1;Galena-Dubuque
863;211;sea;1563;-1;-1;-1;-1;Whiteside-Scott
1148;211;sea;1563;-1;-1;-1;-1;Rock Island-Scott
868;213;sea;1549;-1;-1;-1;-1;Macomb-Shoquoquon
1078;215;sea;1549;-1;-1;-1;-1;Quincy-Hannibal
1078;885;sea;1549;-1;-1;-1;-1;Quincy-Bowling Green
214;925;sea;1518;-1;-1;-1;-1;Cuivre-Chesterfield
1050;925;sea;1518;-1;-1;-1;-1;St. Louis-Chesterfield
1050;1077;sea;1518;-1;-1;-1;-1;St. Louis-Alton
1050;1056;sea;1518;-1;-1;-1;-1;St. Louis-Cahokia
857;925;sea;1518;-1;-1;-1;-1;Waterloo-Chesterfield
1051;1055;sea;1554;-1;-1;-1;-1;Cape Girardeau-Cairo
1018;1055;sea;1554;-1;-1;-1;-1;The Purchase-Cairo
1018;853;sea;1554;-1;-1;-1;-1;The Purchase-Vienna
877;1024;sea;1552;-1;-1;-1;-1;Wynne-Memphis
232;873;sea;1548;-1;-1;-1;-1;White-Arkabutla
875;869;sea;1556;-1;-1;-1;-1;Lonoke-Desha
875;234;sea;1556;-1;-1;-1;-1;Lonoke-Pine Bluff
236;240;sea;1556;-1;-1;-1;-1;Sherwood-Little Rock
236;243;sea;1557;-1;-1;-1;-1;Sherwood-Dardanelle
244;3341;sea;1557;-1;-1;-1;-1;Fort Smith-Van Buren
233;1133;sea;1548;-1;-1;-1;-1;Chicot-Sunflower
784;1127;sea;1547;-1;-1;-1;-1;Tellulah-Vicksburg
777;771;sea;1546;-1;-1;-1;-1;La Salle-Avoyelles
777;1266;sea;1546;-1;-1;-1;-1;La Salle-Rapides
778;775;sea;1546;-1;-1;-1;-1;Winn-Colfax
779;1284;sea;1546;-1;-1;-1;-1;Red River-Natchitoches
771;768;sea;3300;-1;-1;-1;-1;Avoyelles-Pointe-Coupee
1264;768;sea;3300;-1;-1;-1;-1;St. Landry-Pointe-Coupee
1252;768;sea;3300;-1;-1;-1;-1;Lafayette-Pointe-Coupee
765;1250;sea;3300;-1;-1;-1;-1;Iberia-Lafourche-Terrebonne
768;1119;sea;1495;-1;-1;-1;-1;Pointe-Coupee-Itta Homma
1251;1119;sea;1495;-1;-1;-1;-1;Atchafalaya-Itta Homma
1124;739;sea;1495;-1;-1;-1;-1;New Orleans-Saint Charles
1250;739;sea;3299;-1;-1;-1;-1;Lafourche-Terrebonne-Saint Charles
1781;544;sea;1611;-1;-1;-1;-1;Puget-Snohomish
549;1768;sea;1609;-1;-1;-1;-1;San Juan-Abbotsford
549;546;sea;1609;-1;-1;-1;-1;San Juan-Camano
549;1767;sea;1609;-1;-1;-1;-1;San Juan-Southern Gulf Islands
1767;555;sea;1609;-1;-1;-1;-1;Southern Gulf Islands-Nanaimo
559;558;sea;1609;-1;-1;-1;-1;Discovery Islands-Klinaklini
559;560;sea;1602;-1;-1;-1;-1;Discovery Islands-Powell
559;557;sea;1602;-1;-1;-1;-1;Discovery Islands-Elk Falls
1766;1764;sea;1602;-1;-1;-1;-1;Kingcome-Port McNeill
3335;3338;sea;1599;-1;-1;-1;-1;Alliford Bay-Daajing Gilds
3332;3331;sea;1599;-1;-1;-1;-1;Hydaburg-Hollis
3332;3333;sea;1599;-1;-1;-1;-1;Hydaburg-Lulu
3333;3331;sea;1599;-1;-1;-1;-1;Lulu-Hollis
3330;3331;sea;1599;-1;-1;-1;-1;Ward Cove-Hollis
3330;3329;sea;1599;-1;-1;-1;-1;Ward Cove-Revillagigedo
3327;3329;sea;1599;-1;-1;-1;-1;Pearse-Revillagigedo
3327;3326;sea;1599;-1;-1;-1;-1;Pearse-Nisgaa
3323;3324;sea;1599;-1;-1;-1;-1;Porcher-Prince Rupert
3323;3321;sea;1599;-1;-1;-1;-1;Porcher-Pitt
3322;3321;sea;1599;-1;-1;-1;-1;Banks-Pitt
3320;3321;sea;1599;-1;-1;-1;-1;Hartley Bay-Pitt
3340;3321;sea;1599;-1;-1;-1;-1;Princess Royal-Pitt
3340;551;sea;1599;-1;-1;-1;-1;Princess Royal-Fjordland
999;551;sea;1599;-1;-1;-1;-1;Heiltsuk-Fjordland
999;681;sea;1599;-1;-1;-1;-1;Heiltsuk-Rivers Inlet
1866;1784;major_river;1614;-1;-1;-1;-1;Columbia-Cowlitz
534;536;major_river;1614;-1;-1;-1;-1;Portland-Clark
514;517;major_river;1615;-1;-1;-1;-1;Klickitat-Columbia Gorge
1772;1773;major_river;1615;-1;-1;-1;-1;Kennewick-Morrow
1772;1773;major_river;1615;-1;-1;-1;-1;Kennewick-Morrow
1772;516;major_river;1615;-1;-1;-1;-1;Kennewick-Umatilla
1772;515;major_river;1615;-1;-1;-1;-1;Kennewick-Wallawalla
1772;511;major_river;1616;-1;-1;-1;-1;Kennewick-Franklin
511;515;major_river;1617;-1;-1;-1;-1;Franklin-Wallawalla
1770;1771;major_river;1616;-1;-1;-1;-1;Benton-Moses Lake
513;508;major_river;1616;-1;-1;-1;-1;Kittitas-Grant
545;508;major_river;1616;-1;-1;-1;-1;Okanogan-Grant
1769;507;major_river;1616;-1;-1;-1;-1;Winthrop-Douglas
510;515;major_river;1617;-1;-1;-1;-1;Whitman-Wallawalla
510;1775;major_river;1617;-1;-1;-1;-1;Whitman-Pomeroy
1774;1775;major_river;1617;-1;-1;-1;-1;Latah-Pomeroy
2033;2031;major_river;1620;-1;-1;-1;-1;Marin-San Francisco
2076;2042;major_river;1620;-1;-1;-1;-1;Solano-Contra Costa
2044;2046;major_river;1618;-1;-1;-1;-1;Yolo-Sacramento
2047;1865;major_river;1618;-1;-1;-1;-1;Yuba-Woodland
2048;2050;major_river;1618;-1;-1;-1;-1;Butte-Colusa
2048;2049;major_river;1618;-1;-1;-1;-1;Butte-Glenn
2045;3630;major_river;1619;-1;-1;-1;-1;San Joaquin-Carbona
2003;3001;major_river;1612;-1;-1;-1;-1;Mexicali-Plutarco
2013;418;major_river;1612;-1;-1;-1;-1;Imperial-Yuma
2013;1837;major_river;1612;-1;-1;-1;-1;Imperial-Havasu
2018;1837;major_river;1612;-1;-1;-1;-1;Blythe-Havasu
1857;1837;major_river;1613;-1;-1;-1;-1;Big Bend-Havasu
1857;1838;major_river;1613;-1;-1;-1;-1;Big Bend-Mohave
432;997;sea;996;-1;-1;-1;-1;Bonneville-Wendover
3021;1230;major_river;1559;-1;-1;-1;-1;Piedras Negras-Maverick
231;1230;major_river;1559;-1;-1;-1;-1;Laredo-Maverick
230;1227;major_river;1586;-1;-1;-1;-1;Falcon-Webb
1981;1227;major_river;1586;-1;-1;-1;-1;Reynosa-Webb
1981;1225;major_river;1586;-1;-1;-1;-1;Reynosa-Starr
2390;1225;major_river;1586;-1;-1;-1;-1;Valle Hermoso-Starr
228;1223;major_river;1586;-1;-1;-1;-1;Matamoros-Cameron
-1;-1;;-1;-1;-1;-1;-1;-1
